artist_name,album_name
Dusty Springfield,Dusty in Memphis
Bruce Springsteen,Born to Run
Bruce Springsteen,Born in the U.S.A.
Bruce Springsteen,Darkness on the Edge of Town
Bruce Springsteen,Nebraska
Steely Dan,Aja
Rod Stewart,Every Picture Tells a Story
The Stone Roses,The Stone Roses
The Stooges,Fun House
T. Rex,Electric Warrior
Talking Heads,Remain in Light
Talking Heads,Stop Making Sense
James Taylor,Sweet Baby James
Television,Marquee Moon
The Temptations,Anthology
Richard & Linda Thompson,Shoot Out the Lights
Tina Turner,Private Dancer
U2,Achtung Baby
U2,The Joshua Tree
U2,The Unforgettable Fire
Van Halen,Van Halen
Various Artists,Atlantic Rhythm and Blues
Jimmy Cliff,The Harder They Come
The Bee Gees,Saturday Night Fever
The Velvet Underground,The Velvet Underground
The Velvet Underground,The Velvet Underground & Nico
The Velvet Underground,White Light/White Heat
The Wailers,Burnin'
The Wailers,Catch a Fire
Tom Waits,Rain Dogs
The Who,The Who by Numbers
The Who,Meaty Beaty Big and Bouncy
The Who,My Generation
The Who,Tommy
The Who,Quadrophenia
The Who,Who's Next
Stevie Wonder,Innervisions
Stevie Wonder,Songs in the Key of Life
Stevie Wonder,Talking Book
X,Los Angeles
Yes,Fragile
Neil Young,After the Goldrush
Neil Young,Harvest
Neil Young,Rust Never Sleeps
Neil Young,Tonight's the Night
Frank Zappa,Apostrophe (')
Frank Zappa,Hot Rats
Frank Zappa,Freak Out!
Frank Zappa,We're Only in It for the Money
The Zombies,Odessey and Oracle
