artist_name,album_name
The Ozark Mountain Daredevils,It's Alive!
Toby Beau,Toby Beau
Joe Ely,Honky Tonk Masquerade
Neil Young,Comes a Time
Hoyt Axton,A Rusty Old Halo
Clover,Chronicle
Charlie Daniels Band,Million Mile Reflections
Amazing Rhythm Aces,How The Hell Do You Spell Rythum?
Dirt Band,Make a Little Magic
Firefall,Undertow
Firefall,Clouds Across The Sun
Hoyt Axton,Where Did the Money Go?
The Outlaws,Ghost Riders
The Ozark Mountain Daredevils,Ozark Mountain Daredevils
Joe Ely,Live Shots
Rita Coolidge,Greatest Hits
The Charlie Daniels Band,Full Moon
Poco,Blue and Gray
Elvis Costello & the Attractions,Almost Blue
Jason & The Scorchers,Reckless Country Soul
Juice Newton,Quiet Lies
Poco,Cowboys & Englishmen
Poco,Ghost Town
The Charlie Daniels Band,A Decade of Hits (Charlie Daniels album)
Lone Justice,Lone Justice"
Jimmy Buffett, Songs You Know by Heart: Jimmy Buffett's Greatest Hit(s)
Nick Lowe & His Cowboy Outfit,The Rose of England
Albert Lee,Country Guitar Man
The Jayhawks,The Jayhawks
Steve Earle,Guitar Town
The Beau Brummels, The Best of the Beau Brummels Golden Archive Series
Blue Rodeo,Outskirts
Various Artists,The Best of Shiloh & More Vol. 1
The Flying Burrito Brothers, Farther Along: The Best of the Flying Burrito Brothers
Steve Earle,Copperhead Road
Nick Lowe, Basher: The Best of Nick Lowe
Doug Sahm & the Sir Douglas Quintet,The Best of Doug Sahm & the Sir Douglas Quintet 1968-1975
The Flatlanders,More a Legend Than a Band
Commander Cody and His Lost Planet Airmen, Too Much Fun: Best of Commander Cody
Steve Earle,The Hard Way
Poco,The Forgotten Trail (1969-1974)
Blue Rodeo,Casino
The Dillards,There Is a Time
Southern Pacific,Greatest Hits
Brinsley Schwarz,Surrender to the Rhythm
Desert Rose Band, A Dozen Roses: Greatest Hits
Firefall,Greatest Hits
Neil Young,Harvest Moon
The Jayhawks,Hollywood Town Hall
Rick Nelson,Stay Young
Michael Nesmith,Complete First National Band Recordings
Eagles,The Very Best of the Eagles
Nick Lowe,The Impossible Bird
The Marshall Tucker Band, The Best of the Marshall Tucker Band: The Capricorn Years
Pure Prairie League,The Best of Pure Prairie League
Steve Earle,Train a Comin'
Steve Earle, Ain't Ever Satisfied: The Steve Earle Collection
Gary Stewart,The Essential Gary Stewart
Dan Hicks & His Hot Licks, Return to Hicksville: The Best of Dan Hicks & His Hot Licks-The Blue Thumb Years
Ozark Mountain Daredevils,13
Neko Case and Her Boyfriends,The Virginian
Gene Clark,Flying High
Rick Nelson,Bright Lights & Country Music/Country Fever
The Long Ryders,Anthology
Alabama,For the Record
Townes Van Zandt, Anthology: 1968-1979 (Charly)
Poco,The Ultimate Collection
The Byrds, Live at the Fillmore - February Neko Case: The Tigers Have Spoken
Ryan Adams & The Cardinals,Cold Roses
Joel Plaskett,La De Da
Pure Prairie League,All in Good Time
Neko Case,Fox Confessor Brings the Flood
The Little Willies,The Little Willies
David Allan Coe & Cowboys from Hell,Rebel Meets Rebel
Bon Jovi,Lost Highway
Robert Plant and Alison Krauss,Raising Sand
Mudcrutch,Mudcrutch
The Byrds,Live at Royal Albert Hall
John Mellencamp,Life Death Love and Freedom
Deer Tick,Born on Flag Day
John Fogerty,The Blue Ridge Rangers Rides Again
Brantley Gilbert,Halfway to Heaven
Robert Plant,Band of Joy
Blitzen Trapper,American Goldwing
The Little Willies,For the Good Times
Beck,Morning Phase
Lit,These Are the Days
